order_id,customer_id,order_date,total_amount
1001,72,2025-06-02,524.73
1002,32,2025-05-15,847.66
1003,11,2025-03-18,341.15
1004,18,2024-07-26,362.78
1005,59,2024-09-26,112.06
1006,87,2024-07-17,2824.61
1007,54,2025-06-30,436.84
1008,25,2025-01-01,2466.86
1009,27,2025-03-04,1674.48
1010,83,2025-05-02,2544.33
1011,35,2025-03-27,1528.18
1012,37,2024-09-13,1917.6
1013,27,2024-11-24,2872.19
1014,30,2025-03-05,2385.21
1015,29,2024-09-24,1975.27
1016,95,2025-01-30,1846.87
1017,35,2025-03-04,2791.53
1018,50,2024-11-13,1469.21
1019,94,2024-09-24,851.8
1020,16,2025-06-06,960.87
1021,32,2025-04-23,265.73
1022,23,2024-10-16,2529.71
1023,9,2024-12-09,2395.76
1024,39,2025-02-12,2919.53
1025,53,2024-10-27,2394.95
1026,2,2024-11-13,1025.11
1027,1,2024-12-16,2218.74
1028,77,2024-08-22,1200.13
1029,80,2025-02-04,413.73
1030,14,2024-11-08,1786.83
1031,31,2025-01-09,2787.84
1032,20,2024-10-04,2687.87
1033,19,2024-10-24,1662.29
1034,60,2024-09-03,2149.24
1035,79,2024-11-07,2099.01
1036,36,2025-04-30,1680.77
1037,93,2024-12-12,2397.19
1038,35,2024-09-23,579.06
1039,24,2024-12-12,1806.18
1040,78,2025-01-18,1516.26
1041,32,2025-03-15,2275.05
1042,51,2024-12-09,904.33
1043,87,2025-02-08,2584.21
1044,52,2025-02-09,2520.42
1045,28,2025-02-27,102.61
1046,93,2024-10-08,2971.94
1047,41,2025-04-10,328.41
1048,89,2025-01-16,235.21
1049,16,2025-01-23,2907.52
1050,83,2024-11-30,2152.63
1051,14,2025-05-17,2721.96
1052,12,2024-12-05,874.1
1053,29,2024-07-17,2210.34
1054,40,2024-10-28,1007.25
1055,95,2024-08-27,1566.19
1056,44,2024-08-28,2199.72
1057,57,2024-12-02,179.45
1058,17,2025-07-09,2727.99
1059,20,2025-03-21,766.37
1060,48,2025-05-26,1739.14
1061,7,2025-06-20,2187.85
1062,85,2024-09-06,1741.58
1063,93,2024-10-07,1566.07
1064,43,2025-01-05,1581.92
1065,46,2025-06-07,1151.38
1066,52,2024-12-30,2789.35
1067,51,2025-02-23,1883.51
1068,16,2025-02-11,264.33
1069,69,2024-10-13,2087.66
1070,51,2024-09-28,219.96
1071,45,2025-07-10,2280.26
1072,100,2025-02-18,1992.36
1073,64,2024-10-20,1461.45
1074,1,2024-10-29,1173.01
1075,58,2024-10-07,1112.02
1076,5,2025-03-01,2710.79
1077,61,2025-02-24,1549.88
1078,66,2025-04-22,850.18
1079,78,2024-10-31,246.89
1080,48,2025-06-27,1137.85
1081,73,2025-05-09,2235.11
1082,85,2024-10-26,852.82
1083,10,2025-05-14,1978.92
1084,86,2025-06-20,2401.59
1085,20,2024-10-23,2278.15
1086,100,2024-10-10,2703.56
1087,51,2024-10-24,342.41
1088,71,2025-05-29,1918.98
1089,91,2025-04-04,1931.64
1090,90,2025-01-13,390.93
1091,25,2025-02-02,225.11
1092,8,2024-10-30,2458.75
1093,87,2025-06-10,117.84
1094,49,2025-07-16,2400.75
1095,40,2025-02-11,1586.21
1096,30,2025-03-27,1155.33
1097,87,2024-08-05,2622.42
1098,89,2025-07-09,495.11
1099,11,2025-03-07,2912.07
1100,50,2025-06-29,306.3
1101,3,2025-03-06,2893.03
1102,46,2024-12-01,1761.1
1103,60,2025-04-17,2278.49
1104,83,2025-05-06,2387.27
1105,63,2025-02-21,1604.64
1106,56,2025-01-16,2727.31
1107,58,2025-03-01,1280.05
1108,52,2025-03-30,1494.3
1109,26,2024-10-02,987.99
1110,68,2025-07-01,2158.8
1111,53,2024-12-22,1905.09
1112,32,2024-07-18,603.8
1113,29,2025-01-04,2258.52
1114,38,2024-08-04,2541.39
1115,17,2024-11-13,2891.68
1116,7,2024-10-06,772.45
1117,71,2025-05-19,506.25
1118,19,2025-07-14,341.72
1119,62,2025-03-09,1540.68
1120,41,2025-03-02,2047.19
1121,50,2025-02-21,196.57
1122,68,2025-02-20,441.99
1123,61,2024-11-26,1905.18
1124,45,2024-10-21,777.04
1125,67,2024-08-30,2998.03
1126,78,2025-04-15,1004.55
1127,36,2025-06-15,904.14
1128,34,2024-08-29,585.97
1129,42,2025-06-04,2686.99
1130,43,2025-01-29,1254.65
1131,65,2025-01-03,1352.93
1132,49,2024-12-12,1954.98
1133,63,2025-04-04,1843.62
1134,28,2024-09-10,2205.06
1135,12,2025-01-01,1144.38
1136,30,2024-12-17,1736.32
1137,25,2025-01-06,2754.5
1138,19,2025-04-11,1805.12
1139,34,2025-02-09,1342.57
1140,39,2024-08-31,2422.29
1141,34,2024-12-20,1001.02
1142,2,2025-03-20,420.51
1143,12,2025-01-22,1500.45
1144,39,2025-01-30,1028.43
1145,34,2025-04-30,243.59
1146,94,2025-01-02,2373.95
1147,100,2025-01-14,1283.81
1148,7,2024-08-04,1464.45
1149,73,2024-08-31,1807.98
1150,87,2024-08-11,1037.79
1151,8,2024-09-29,1610.17
1152,24,2025-03-16,1454.57
1153,64,2024-07-19,756.22
1154,100,2025-07-03,347.35
1155,33,2025-03-28,2665.86
1156,88,2024-10-05,1699.76
1157,30,2024-08-22,184.97
1158,86,2024-12-09,1014.77
1159,86,2025-05-13,391.25
1160,80,2024-12-21,771.0
1161,24,2024-12-18,358.57
1162,29,2024-10-09,2210.39
1163,40,2024-11-08,2269.35
1164,31,2024-12-31,2941.2
1165,53,2025-01-30,1175.71
1166,97,2025-07-07,1174.3
1167,44,2025-03-18,1007.75
1168,3,2025-04-04,1989.48
1169,72,2024-10-11,1532.8
1170,8,2024-10-30,2871.85
1171,34,2025-06-13,1495.87
1172,56,2024-11-24,1870.65
1173,89,2025-03-08,1382.9
1174,8,2024-11-17,1954.51
1175,92,2025-04-23,1125.33
1176,34,2024-11-20,1798.84
1177,60,2025-03-10,1107.76
1178,89,2024-12-05,613.58
1179,71,2025-03-08,950.42
1180,25,2024-09-29,1799.64
1181,22,2025-02-24,1138.42
1182,100,2024-07-22,1105.85
1183,38,2025-03-20,2879.45
1184,12,2025-04-06,200.99
1185,26,2024-11-08,1602.09
1186,71,2025-03-28,1382.47
1187,15,2024-07-17,415.35
1188,58,2024-11-15,2092.14
1189,14,2024-09-24,984.15
1190,25,2024-10-18,2569.49
1191,81,2025-04-17,844.03
1192,63,2025-04-10,274.31
1193,10,2025-05-01,2851.19
1194,15,2024-10-15,916.33
1195,57,2024-09-25,1367.68
1196,46,2024-10-23,632.16
1197,54,2025-07-14,619.76
1198,17,2025-02-26,253.7
1199,57,2025-04-12,170.16
1200,81,2024-12-31,610.61
